away_score,away_team,game_type,home_score,home_team,is_regular_season,league_name,match_date,partial_results,scraped_date,season_type,venue,venue_country,venue_town
4,Los Angeles Dodgers,regular_season,2,New York Yankees,True,MLB 2024,2024-10-28 18:08:00 MDT,"0:2, 0:0, 0:1, 0:0, 0:0, 0:1, 0:0, 0:0, 2:0",2025-05-20 15:41:18 MDT,,Yankee Stadium,USA,"New York, NY"
5,Cleveland Guardians,regular_season,4,Detroit Tigers,True,MLB 2024,2024-10-10 16:08:00 MDT,"0:1, 1:0, 0:0, 0:0, 1:1, 1:0, 0:2, 0:0, 1:1",2025-05-20 15:41:18 MDT,,Comerica Park,USA,"Detroit, MI"
5,New York Yankees,regular_season,2,Cleveland Guardians,True,MLB 2024,2024-10-19 18:08:42 MDT,"0:0, 1:0, 0:0, 0:0, 1:0, 0:2, 0:0, 0:0, 0:0, 0:3",2025-05-20 15:41:18 MDT,,Progressive Field,USA,"Cleveland, OH"
5,Los Angeles Dodgers,regular_season,6,San Diego Padres,True,MLB 2024,2024-10-08 19:08:00 MDT,"0:1, 6:0, 0:4, 0:0, 0:0, 0:0, 0:0, 0:0, X:0",2025-05-20 15:41:21 MDT,,Petco Park,USA,"San Diego, CA"
3,New York Yankees,regular_season,6,Los Angeles Dodgers,True,MLB 2024,2024-10-25 18:08:00 MDT,"0:0, 0:0, 0:0, 0:0, 1:0, 0:2, 0:0, 1:0, 0:0, 4:1",2025-05-20 15:41:21 MDT,,Dodger Stadium,USA,"Los Angeles, CA"
10,San Diego Padres,regular_season,2,Los Angeles Dodgers,True,MLB 2024,2024-10-06 18:03:00 MDT,"0:1, 1:2, 0:0, 0:0, 0:0, 0:1, 0:0, 0:3, 1:3",2025-05-20 15:41:21 MDT,,Dodger Stadium,USA,"Los Angeles, CA"
6,New York Mets,regular_season,7,Philadelphia Phillies,True,MLB 2024,2024-10-06 14:08:00 MDT,"0:0, 0:0, 0:2, 0:0, 0:0, 3:1, 0:1, 3:0, 1:2",2025-05-20 15:41:24 MDT,,Citizens Bank Park,USA,"Philadelphia, PA"
1,Philadelphia Phillies,regular_season,4,New York Mets,True,MLB 2024,2024-10-09 15:08:00 MDT,"0:0, 0:0, 0:0, 0:1, 0:0, 4:0, 0:0, 0:0, X:0",2025-05-20 15:41:23 MDT,,Citi Field,USA,"New York, NY"
3,Detroit Tigers,regular_season,7,Cleveland Guardians,True,MLB 2024,2024-10-12 11:08:00 MDT,"0:0, 0:0, 0:0, 0:0, 5:1, 0:1, 1:1, 1:0, X:0",2025-05-20 15:41:23 MDT,,Progressive Field,USA,"Cleveland, OH"
3,Cleveland Guardians,regular_season,6,New York Yankees,True,MLB 2024,2024-10-15 17:38:00 MDT,"1:0, 2:0, 0:0, 0:0, 0:2, 1:0, 2:0, 0:0, X:1",2025-05-20 15:41:26 MDT,,Yankee Stadium,USA,"New York, NY"
8,Los Angeles Dodgers,regular_season,0,San Diego Padres,True,MLB 2024,2024-10-09 19:08:00 MDT,"0:1, 0:2, 0:2, 0:0, 0:0, 0:0, 0:3, 0:0, 0:0",2025-05-20 15:41:26 MDT,,Petco Park,USA,"San Diego, CA"
2,New York Yankees,regular_season,4,Los Angeles Dodgers,True,MLB 2024,2024-10-26 18:08:00 MDT,"0:0, 1:0, 3:1, 0:0, 0:0, 0:0, 0:0, 0:0, X:1",2025-05-20 15:41:26 MDT,,Dodger Stadium,USA,"Los Angeles, CA"
0,New York Mets,regular_season,9,Los Angeles Dodgers,True,MLB 2024,2024-10-13 18:15:00 MDT,"2:0, 1:0, 0:0, 3:0, 0:0, 0:0, 0:0, 3:0, X:0",2025-05-20 15:41:29 MDT,,Dodger Stadium,USA,"Los Angeles, CA"
7,New York Mets,regular_season,3,Los Angeles Dodgers,True,MLB 2024,2024-10-14 14:08:00 MDT,"0:1, 0:5, 0:0, 0:0, 1:0, 2:0, 0:0, 0:0, 0:1",2025-05-20 15:41:29 MDT,,Dodger Stadium,USA,"Los Angeles, CA"
3,New York Yankees,regular_season,1,Kansas City Royals,True,MLB 2024,2024-10-10 18:08:00 MDT,"0:1, 0:0, 0:0, 0:0, 0:1, 1:1, 0:0, 0:0, 0:0",2025-05-20 15:41:29 MDT,,Kauffman Stadium,USA,"Kansas City, MO"
5,New York Mets,regular_season,10,Los Angeles Dodgers,True,MLB 2024,2024-10-20 18:08:00 MDT,"2:1, 0:0, 4:0, 0:2, 0:0, 1:0, 0:1, 3:0, X:1",2025-05-20 15:41:32 MDT,,Dodger Stadium,USA,"Los Angeles, CA"
2,Philadelphia Phillies,regular_season,7,New York Mets,True,MLB 2024,2024-10-08 15:08:00 MDT,"0:0, 1:0, 0:0, 1:0, 0:0, 2:0, 2:0, 1:2, X:0",2025-05-20 15:41:32 MDT,,Citi Field,USA,"New York, NY"
4,Los Angeles Dodgers,regular_season,11,New York Yankees,True,MLB 2024,2024-10-29 18:08:00 MDT,"0:2, 1:0, 4:0, 0:0, 0:2, 1:0, 0:0, 5:0, X:0",2025-05-20 15:41:32 MDT,,Yankee Stadium,USA,"New York, NY"
8,New York Yankees,regular_season,6,Cleveland Guardians,True,MLB 2024,2024-10-18 18:08:00 MDT,"1:2, 0:1, 1:0, 0:0, 0:0, 0:3, 3:0, 1:0, 0:2",2025-05-20 15:41:35 MDT,,Progressive Field,USA,"Cleveland, OH"
3,New York Yankees,regular_season,2,Kansas City Royals,True,MLB 2024,2024-10-09 17:08:00 MDT,"0:0, 0:0, 0:0, 0:1, 2:1, 0:0, 0:0, 0:1, 0:0",2025-05-20 15:41:35 MDT,,Kauffman Stadium,USA,"Kansas City, MO"
5,New York Yankees,regular_season,7,Cleveland Guardians,True,MLB 2024,2024-10-17 15:08:00 MDT,"0:0, 0:1, 2:0, 0:0, 0:0, 1:0, 0:0, 0:3, 2:1, 2:0",2025-05-20 15:41:35 MDT,,Progressive Field,USA,"Cleveland, OH"
2,Cleveland Guardians,regular_season,5,New York Yankees,True,MLB 2024,2024-10-14 17:38:00 MDT,"0:0, 0:0, 3:0, 1:0, 0:0, 0:1, 1:0, 0:1, X:0",2025-05-20 15:41:38 MDT,,Yankee Stadium,USA,"New York, NY"
10,Los Angeles Dodgers,regular_season,2,New York Mets,True,MLB 2024,2024-10-17 18:08:00 MDT,"1:1, 0:0, 1:2, 0:2, 0:0, 0:2, 0:0, 0:3, 0:0",2025-05-20 15:41:38 MDT,,Citi Field,USA,"New York, NY"
6,Los Angeles Dodgers,regular_season,12,New York Mets,True,MLB 2024,2024-10-18 15:08:00 MDT,"3:0, 0:1, 5:0, 2:1, 0:3, 1:1, 0:0, 1:0, X:0",2025-05-20 15:41:38 MDT,,Citi Field,USA,"New York, NY"
3,Detroit Tigers,regular_season,0,Cleveland Guardians,True,MLB 2024,2024-10-07 14:08:00 MDT,"0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:0, 0:3",2025-05-20 15:41:40 MDT,,Progressive Field,USA,"Cleveland, OH"
4,Kansas City Royals,regular_season,2,New York Yankees,True,MLB 2024,2024-10-07 17:38:00 MDT,"0:0, 0:0, 1:0, 0:4, 0:0, 0:0, 0:0, 0:0, 1:0",2025-05-20 15:41:40 MDT,,Yankee Stadium,USA,"New York, NY"
0,San Diego Padres,regular_season,2,Los Angeles Dodgers,True,MLB 2024,2024-10-11 18:08:00 MDT,"0:0, 1:0, 0:0, 0:0, 0:0, 0:0, 1:0, 0:0, X:0",2025-05-20 15:41:40 MDT,,Dodger Stadium,USA,"Los Angeles, CA"
8,Los Angeles Dodgers,regular_season,0,New York Mets,True,MLB 2024,2024-10-16 18:08:00 MDT,"0:0, 0:2, 0:0, 0:0, 0:0, 0:2, 0:0, 0:3, 0:1",2025-05-20 15:41:43 MDT,,Citi Field,USA,"New York, NY"
0,Cleveland Guardians,regular_season,3,Detroit Tigers,True,MLB 2024,2024-10-09 13:08:00 MDT,"1:0, 0:0, 1:0, 0:0, 0:0, 1:0, 0:0, 0:0, X:0",2025-05-20 15:41:43 MDT,,Comerica Park,USA,"Detroit, MI"
7,Los Angeles Dodgers,regular_season,6,New York Yankees,True,MLB 2024,2024-10-30 18:08:00 MDT,"3:0, 1:0, 1:0, 0:0, 0:5, 1:0, 0:0, 0:2, 0:0",2025-05-20 15:41:43 MDT,,Yankee Stadium,USA,"New York, NY"
